id,estimated_value,asking_price,deadline,bids_avg,bids_count,value_diff,roi
18349882,20643750,20643750,26/12/25 at 07:01,-,0,0,0.0
18455058,8851300,8851300,26/12/25 at 07:14,-,0,0,0.0
18576242,63942500,0,Today at 19:39,12.314.000 baht,0,63942500,0.0
18277712,3524650,0,26/12/25 at 06:33,-,0,3524650,0.0
18334870,18202700,18202700,28/12/25 at 07:30,-,0,0,0.0
18087165,3227250,3227250,26/12/25 at 06:59,-,0,0,0.0
18033439,2710150,2710150,28/12/25 at 06:57,-,0,0,0.0
18131819,9221350,9221350,27/12/25 at 07:32,-,0,0,0.0
18361924,14136300,0,27/12/25 at 10:43,1.778.350 baht,0,14136300,0.0
18191815,6263400,6263400,26/12/25 at 06:43,-,0,0,0.0
18325220,3279300,0,26/12/25 at 07:21,298.300 baht,0,3279300,0.0
18209460,4501350,4501350,26/12/25 at 07:40,-,0,0,0.0
18461446,6668250,6668250,26/12/25 at 07:34,-,0,0,0.0
18392496,4381000,4383400,28/12/25 at 07:09,-,0,-2400,-0.05
18115998,3346700,3352800,26/12/25 at 07:24,-,0,-6100,-0.18
18064018,3153700,3161550,26/12/25 at 07:03,-,0,-7850,-0.25
18153082,3172150,3180050,26/12/25 at 07:15,-,0,-7900,-0.25
18133536,3302400,3310750,26/12/25 at 07:16,-,0,-8350,-0.25
18184308,3302400,3310750,26/12/25 at 06:34,-,0,-8350,-0.25
18050979,3126550,3134400,26/12/25 at 07:01,-,0,-7850,-0.25
18074207,2373500,2380000,26/12/25 at 07:14,-,0,-6500,-0.27
